10001	Juan Dela Cruz	2025-07-15 08:10:23	Check-in	Fingerprint
10001	Juan Dela Cruz	2025-07-15 17:10:50	Check-out	Fingerprint
10001	Juan Dela Cruz	2025-07-16 08:13:51	Check-in	Fingerprint
10001	Juan Dela Cruz	2025-07-16 17:12:40	Check-out	Fingerprint
10001	Juan Dela Cruz	2025-07-17 08:03:39	Check-in	Fingerprint
10001	Juan Dela Cruz	2025-07-17 17:03:01	Check-out	Fingerprint
10001	Juan Dela Cruz	2025-07-18 08:12:46	Check-in	Fingerprint
10001	Juan Dela Cruz	2025-07-18 17:14:21	Check-out	Fingerprint
10001	Juan Dela Cruz	2025-07-19 08:00:03	Check-in	Fingerprint
10001	Juan Dela Cruz	2025-07-19 17:11:22	Check-out	Fingerprint
10001	Juan Dela Cruz	2025-07-20 08:04:52	Check-in	Fingerprint
10001	Juan Dela Cruz	2025-07-20 17:00:52	Check-out	Fingerprint
10001	Juan Dela Cruz	2025-07-21 08:15:44	Check-in	Fingerprint
10001	Juan Dela Cruz	2025-07-21 17:14:24	Check-out	Fingerprint
10002	Maria Santos	2025-07-15 08:10:19	Check-in	Fingerprint
10002	Maria Santos	2025-07-15 17:09:09	Check-out	Fingerprint
10002	Maria Santos	2025-07-16 08:14:01	Check-in	Fingerprint
10002	Maria Santos	2025-07-16 17:06:22	Check-out	Fingerprint
10002	Maria Santos	2025-07-17 08:10:34	Check-in	Fingerprint
10002	Maria Santos	2025-07-17 17:02:27	Check-out	Fingerprint
10002	Maria Santos	2025-07-18 08:02:02	Check-in	Fingerprint
10002	Maria Santos	2025-07-18 17:13:54	Check-out	Fingerprint
10002	Maria Santos	2025-07-19 08:06:44	Check-in	Fingerprint
10002	Maria Santos	2025-07-19 17:04:49	Check-out	Fingerprint
10002	Maria Santos	2025-07-20 08:04:08	Check-in	Fingerprint
10002	Maria Santos	2025-07-20 17:05:03	Check-out	Fingerprint
10002	Maria Santos	2025-07-21 08:02:54	Check-in	Fingerprint
10002	Maria Santos	2025-07-21 17:14:40	Check-out	Fingerprint
10003	Carlos Reyes	2025-07-15 08:10:33	Check-in	Fingerprint
10003	Carlos Reyes	2025-07-15 17:09:24	Check-out	Fingerprint
10003	Carlos Reyes	2025-07-16 08:09:45	Check-in	Fingerprint
10003	Carlos Reyes	2025-07-16 17:00:36	Check-out	Fingerprint
10003	Carlos Reyes	2025-07-17 08:15:00	Check-in	Fingerprint
10003	Carlos Reyes	2025-07-17 17:06:34	Check-out	Fingerprint
10003	Carlos Reyes	2025-07-18 08:02:54	Check-in	Fingerprint
10003	Carlos Reyes	2025-07-18 17:03:40	Check-out	Fingerprint
10003	Carlos Reyes	2025-07-19 08:04:02	Check-in	Fingerprint
10003	Carlos Reyes	2025-07-19 17:00:52	Check-out	Fingerprint
10003	Carlos Reyes	2025-07-20 08:02:03	Check-in	Fingerprint
10003	Carlos Reyes	2025-07-20 17:09:46	Check-out	Fingerprint
10003	Carlos Reyes	2025-07-21 08:03:06	Check-in	Fingerprint
10003	Carlos Reyes	2025-07-21 17:15:46	Check-out	Fingerprint
10004	Ana Lopez	2025-07-15 08:01:03	Check-in	Fingerprint
10004	Ana Lopez	2025-07-15 17:13:01	Check-out	Fingerprint
10004	Ana Lopez	2025-07-16 08:01:07	Check-in	Fingerprint
10004	Ana Lopez	2025-07-16 17:05:12	Check-out	Fingerprint
10004	Ana Lopez	2025-07-17 08:06:52	Check-in	Fingerprint
10004	Ana Lopez	2025-07-17 17:12:31	Check-out	Fingerprint
10004	Ana Lopez	2025-07-18 08:00:49	Check-in	Fingerprint
10004	Ana Lopez	2025-07-18 17:02:23	Check-out	Fingerprint
10004	Ana Lopez	2025-07-19 08:14:57	Check-in	Fingerprint
10004	Ana Lopez	2025-07-19 17:02:13	Check-out	Fingerprint
10004	Ana Lopez	2025-07-20 08:02:24	Check-in	Fingerprint
10004	Ana Lopez	2025-07-20 17:01:10	Check-out	Fingerprint
10004	Ana Lopez	2025-07-21 08:09:52	Check-in	Fingerprint
10004	Ana Lopez	2025-07-21 17:02:26	Check-out	Fingerprint
10005	Mark Villanueva	2025-07-15 08:07:05	Check-in	Fingerprint
10005	Mark Villanueva	2025-07-15 17:15:28	Check-out	Fingerprint
10005	Mark Villanueva	2025-07-16 08:03:01	Check-in	Fingerprint
10005	Mark Villanueva	2025-07-16 17:09:09	Check-out	Fingerprint
10005	Mark Villanueva	2025-07-17 08:11:24	Check-in	Fingerprint
10005	Mark Villanueva	2025-07-17 17:05:55	Check-out	Fingerprint
10005	Mark Villanueva	2025-07-18 08:06:04	Check-in	Fingerprint
10005	Mark Villanueva	2025-07-18 17:09:09	Check-out	Fingerprint
10005	Mark Villanueva	2025-07-19 08:03:59	Check-in	Fingerprint
10005	Mark Villanueva	2025-07-19 17:02:46	Check-out	Fingerprint
10005	Mark Villanueva	2025-07-20 08:15:01	Check-in	Fingerprint
10005	Mark Villanueva	2025-07-20 17:07:53	Check-out	Fingerprint
10005	Mark Villanueva	2025-07-21 08:11:41	Check-in	Fingerprint
10005	Mark Villanueva	2025-07-21 17:10:21	Check-out	Fingerprint
